invoice_no,product_type,product_name,purchased_amt,date_purchased
17405,Technology,Apple iPad Pro,1048.58,03/05/21
85871,Office Supplies,Eco-Friendly Sticky Notes,184.77,23/04/19
30227,Office Supplies,Wirebound College Ruled Notebooks,49.95,06/01/20
12446,Food,Vegan Chocolate Cake,37.45,27/01/16
52122,Food,Vegan Chocolate Cake,49.54,15/10/16
45002,Furniture,Sturdy Metal Frame Desk,316.81,08/01/19
13920,Fuel,Premium Diesel,105.74,20/09/13
47803,Food,Organic Tomato Soup,95.47,07/12/21
15359,Office Supplies,LaserJet Printer Cartridge,435.55,24/07/20
30685,Fuel,Premium Diesel,100.1,03/04/13
17864,Office Supplies,Mesh Desk Organizer,490.32,02/08/17
29727,Food,Gourmet Beef Steak,42.56,13/09/20
3586,Food,Fresh California Avocado,40.56,22/10/21
37872,Food,Organic Tomato Soup,51.46,18/03/20
97483,Food,Organic Tomato Soup,70.48,09/06/16
28725,Fuel,Premium Diesel,119.78,02/01/23
84257,Furniture,"Hon Swivel Stool, Black",445.24,21/02/16
89885,Food,Organic Tomato Soup,41.37,03/10/23
23075,Fuel,Premium Diesel,52.91,09/05/13
81989,Fuel,Regular Unleaded Petrol,141.55,31/08/21
16034,Food,Vegan Chocolate Cake,91.98,13/05/13
85099,Food,Vegan Chocolate Cake,84.79,03/05/22
21558,Food,Artisanal Bread Loaf,2.52,06/01/18
21162,Food,Vegan Chocolate Cake,91.91,23/01/21
25800,Food,Gourmet Beef Steak,91.97,05/11/14
91271,Technology,Dell XPS 13 Laptop,1042.64,14/08/13
36532,Furniture,Sturdy Metal Frame Desk,601.65,29/10/15
15373,Food,Gourmet Beef Steak,70.47,27/07/17
57271,Technology,Apple iPad Pro,1156.39,22/12/19
44041,Fuel,Premium Diesel,91.6,18/12/20
87187,Technology,Sony Noise Cancelling Headphones,133.89,06/02/15
46772,Food,Fresh California Avocado,72.17,24/02/19
8437,Office Supplies,Premium Writing Pads,67.12,17/03/23
36986,Fuel,Regular Unleaded Petrol,98.65,06/05/13
40167,Technology,Apple iPad Pro,1556.11,02/02/14
86663,Office Supplies,Wirebound College Ruled Notebooks,373.54,15/03/23
70885,Office Supplies,Premium Writing Pads,785.44,28/03/13
13411,Food,Vegan Chocolate Cake,60.39,19/04/14
24909,Technology,OnePlus 9 Pro,518.99,27/07/19
78563,Food,Artisanal Bread Loaf,65.09,18/04/12
27264,Technology,Google Pixel 5,1787.01,27/05/12
30292,Furniture,Ergo Executive Office Chair,109.99,20/09/14
3705,Fuel,Regular Unleaded Petrol,87.42,20/06/20
95432,Technology,iPhone 12 Pro Max,1039.46,29/12/19
30348,Office Supplies,Eco-Friendly Sticky Notes,93.96,17/09/19
78197,Furniture,"Hon Swivel Stool, Black",753.91,05/01/22
19059,Fuel,Regular Unleaded Petrol,144.56,24/05/13
35065,Technology,OnePlus 9 Pro,1854.95,26/10/12
72681,Technology,OnePlus 9 Pro,1993.46,07/10/12
70273,Office Supplies,Mesh Desk Organizer,384.63,03/05/12
